run_id,model_name,criterion,run_started_at,epoch,epoch_timestamp,train_loss,val_loss,is_best,learning_rate,epoch_duration_sec,num_params,batch_size,seed
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,1/200,2026-07-22 02:56:58,0.110780,0.096126,True,0.00010000,534.41,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,2/200,2026-07-22 03:06:10,0.095569,0.092161,True,0.00010000,540.97,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,3/200,2026-07-22 03:15:24,0.089188,0.087244,True,0.00010000,543.16,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,4/200,2026-07-22 03:24:32,0.084512,0.082383,True,0.00010000,536.57,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,5/200,2026-07-22 03:33:38,0.081303,0.081636,True,0.00010000,534.35,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,6/200,2026-07-22 03:42:38,0.078594,0.079230,True,0.00010000,529.45,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,7/200,2026-07-22 03:51:47,0.076123,0.078077,True,0.00010000,537.31,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,8/200,2026-07-22 04:00:57,0.074151,0.075299,True,0.00010000,538.64,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,9/200,2026-07-22 04:10:05,0.072018,0.075904,False,0.00010000,536.35,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,10/200,2026-07-22 04:18:55,0.069954,0.071935,True,0.00010000,530.44,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,11/200,2026-07-22 04:28:05,0.068045,0.072443,False,0.00010000,537.83,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,12/200,2026-07-22 04:37:01,0.066594,0.072061,False,0.00010000,536.27,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,13/200,2026-07-22 04:45:56,0.064895,0.070826,True,0.00010000,534.92,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,14/200,2026-07-22 04:55:03,0.063431,0.071462,False,0.00010000,535.77,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,15/200,2026-07-22 05:04:05,0.061924,0.070625,True,0.00010000,542.27,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,16/200,2026-07-22 05:13:15,0.060400,0.069904,True,0.00010000,538.24,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,17/200,2026-07-22 05:22:20,0.059237,0.070449,False,0.00010000,533.63,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,18/200,2026-07-22 05:31:15,0.058071,0.071357,False,0.00010000,535.33,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,19/200,2026-07-22 05:40:12,0.056690,0.070081,False,0.00010000,536.34,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,20/200,2026-07-22 05:49:11,0.055608,0.067845,True,0.00005000,539.85,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,21/200,2026-07-22 05:58:15,0.049925,0.065307,True,0.00005000,532.44,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,22/200,2026-07-22 06:07:25,0.047269,0.065552,False,0.00005000,537.38,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,23/200,2026-07-22 06:16:18,0.045788,0.064882,True,0.00005000,533.66,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,24/200,2026-07-22 06:25:28,0.044615,0.064625,True,0.00005000,537.74,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,25/200,2026-07-22 06:34:38,0.043534,0.064416,True,0.00005000,539.20,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,26/200,2026-07-22 06:43:47,0.042648,0.064299,True,0.00005000,537.27,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,27/200,2026-07-22 06:52:56,0.041800,0.064651,False,0.00005000,537.22,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,28/200,2026-07-22 07:01:53,0.040914,0.064425,False,0.00005000,536.48,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,29/200,2026-07-22 07:10:49,0.040190,0.064483,False,0.00005000,536.34,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,30/200,2026-07-22 07:19:40,0.039624,0.064320,False,0.00005000,531.28,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,31/200,2026-07-22 07:28:36,0.038878,0.064135,True,0.00005000,535.69,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,32/200,2026-07-22 07:37:50,0.038257,0.063420,True,0.00005000,541.70,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,33/200,2026-07-22 07:47:00,0.037619,0.064196,False,0.00005000,538.52,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,34/200,2026-07-22 07:55:55,0.037157,0.064616,False,0.00005000,535.11,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,35/200,2026-07-22 08:04:52,0.036671,0.064103,False,0.00005000,536.58,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,36/200,2026-07-22 08:13:55,0.036106,0.064383,False,0.00005000,542.99,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,37/200,2026-07-22 08:22:50,0.035599,0.064510,False,0.00005000,535.81,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,38/200,2026-07-22 08:31:51,0.035261,0.063756,False,0.00005000,540.37,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,39/200,2026-07-22 08:40:46,0.034813,0.063780,False,0.00005000,534.98,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,40/200,2026-07-22 08:49:42,0.034270,0.064138,False,0.00002500,536.26,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,41/200,2026-07-22 08:58:43,0.031296,0.062091,True,0.00002500,541.02,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,42/200,2026-07-22 09:07:57,0.029366,0.062085,True,0.00002500,542.03,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,43/200,2026-07-22 09:17:08,0.028503,0.062386,False,0.00002500,539.89,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,44/200,2026-07-22 09:26:04,0.028093,0.062015,True,0.00002500,536.15,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,45/200,2026-07-22 09:35:16,0.027587,0.062024,False,0.00002500,540.30,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,46/200,2026-07-22 09:44:15,0.027219,0.062438,False,0.00002500,538.86,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,47/200,2026-07-22 09:53:12,0.026888,0.062187,False,0.00002500,537.57,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,48/200,2026-07-22 10:02:08,0.026555,0.062372,False,0.00002500,535.86,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,49/200,2026-07-22 10:11:05,0.026218,0.061949,True,0.00002500,537.07,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,50/200,2026-07-22 10:20:11,0.025933,0.062836,False,0.00002500,534.38,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,51/200,2026-07-22 10:29:05,0.025601,0.062350,False,0.00002500,534.32,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,52/200,2026-07-22 10:37:54,0.025362,0.062464,False,0.00002500,529.50,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,53/200,2026-07-22 10:46:48,0.025098,0.062976,False,0.00002500,534.08,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,54/200,2026-07-22 10:55:40,0.024791,0.062536,False,0.00002500,531.15,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,55/200,2026-07-22 11:04:34,0.024578,0.062110,False,0.00002500,534.61,39682149,8,42
Densenet121_No_Noise_90k_RMSELoss_20260722_024802,Densenet121_No_Noise_90k_RMSELoss,RMSELoss,2026-07-22 02:48:02,56/200,2026-07-22 11:13:26,0.024415,0.062236,False,0.00002500,531.88,39682149,8,42
