run_id,model_name,criterion,run_started_at,epoch,epoch_timestamp,train_loss,val_loss,is_best,learning_rate,epoch_duration_sec,num_params,batch_size,seed
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,1/200,2026-08-10 15:51:13,0.088133,0.079846,True,0.00010000,383.12,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,2/200,2026-08-10 15:57:48,0.080424,0.077669,True,0.00010000,384.71,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,3/200,2026-08-10 16:04:18,0.076988,0.074205,True,0.00010000,380.74,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,4/200,2026-08-10 16:10:45,0.074668,0.074579,False,0.00010000,376.74,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,5/200,2026-08-10 16:17:06,0.072897,0.076624,False,0.00010000,380.86,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,6/200,2026-08-10 16:23:32,0.071235,0.071455,True,0.00010000,385.86,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,7/200,2026-08-10 16:30:02,0.069848,0.070739,True,0.00010000,381.02,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,8/200,2026-08-10 16:36:32,0.068404,0.069775,True,0.00010000,379.94,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,9/200,2026-08-10 16:43:02,0.066966,0.069797,False,0.00010000,380.04,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,10/200,2026-08-10 16:49:29,0.065716,0.069745,True,0.00010000,387.50,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,11/200,2026-08-10 16:56:01,0.064114,0.068914,True,0.00010000,381.71,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,12/200,2026-08-10 17:02:31,0.062896,0.068596,True,0.00010000,380.28,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,13/200,2026-08-10 17:09:03,0.061523,0.068332,True,0.00010000,383.08,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,14/200,2026-08-10 17:15:35,0.060153,0.067650,True,0.00010000,381.71,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,15/200,2026-08-10 17:22:09,0.058885,0.067057,True,0.00010000,384.91,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,16/200,2026-08-10 17:28:40,0.057414,0.067802,False,0.00010000,380.63,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,17/200,2026-08-10 17:35:07,0.056116,0.067989,False,0.00010000,387.29,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,18/200,2026-08-10 17:41:35,0.054992,0.067697,False,0.00010000,388.08,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,19/200,2026-08-10 17:48:03,0.053691,0.067909,False,0.00010000,388.06,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,20/200,2026-08-10 17:54:24,0.052575,0.066893,True,0.00005000,381.24,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,21/200,2026-08-10 18:00:53,0.047562,0.065078,True,0.00005000,378.63,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,22/200,2026-08-10 18:07:23,0.044948,0.064589,True,0.00005000,380.26,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,23/200,2026-08-10 18:13:51,0.043274,0.064313,True,0.00005000,378.60,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,24/200,2026-08-10 18:20:21,0.041951,0.064951,False,0.00005000,380.49,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,25/200,2026-08-10 18:26:40,0.040820,0.064389,False,0.00005000,378.74,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,26/200,2026-08-10 18:33:09,0.039766,0.064171,True,0.00005000,388.55,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,27/200,2026-08-10 18:39:34,0.038807,0.064525,False,0.00005000,375.86,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,28/200,2026-08-10 18:45:54,0.037889,0.064323,False,0.00005000,380.24,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,29/200,2026-08-10 18:52:21,0.037113,0.063995,True,0.00005000,386.79,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,30/200,2026-08-10 18:58:51,0.036319,0.064148,False,0.00005000,380.50,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,31/200,2026-08-10 19:05:13,0.035702,0.063989,True,0.00005000,381.56,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,32/200,2026-08-10 19:11:43,0.035011,0.064649,False,0.00005000,379.88,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,33/200,2026-08-10 19:18:05,0.034395,0.064109,False,0.00005000,382.60,39670797,8,42
Densenet121_Model6_No_Noise_90k_RMSELoss_20260810_154449,Densenet121_Model6_No_Noise_90k_RMSELoss,RMSELoss,2026-08-10 15:44:49,34/200,2026-08-10 19:24:31,0.033797,0.063345,True,0.00005000,386.00,39670797,8,42
